"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","in_rows","in_rows_top20","results"
"227",204,"enrichment","pT+","TREML1",4.66341182570731,3.21189392948698e-05,0.00309111487665466,6919,"ENSG00000161911","c(18573; 30484; 52416; 62856; 101516; 116944; 138203; 162663; 182199; 208616; 222094; 243429; 266599; 281410; 312732; 317599; 342107; 362400; 396412; 403904; 428202; 448680; 459662; 480761; 501557; 534592; 557309; 574933; 589155; 611304; 626738; 655028; 675461; 694059; 721016; 731462; 768363; 785623; 807098; 814854; 849130; 866600; 887890; 918676; 939345; 960317; 969050; 988101; 1012245; 1024681)","integer(0)","character(0)"
"228",205,"enrichment","pT+","AC005400.1",4.66341182570731,3.21189392948698e-05,0.00309111487665466,7784,"ENSG00000287249","c(18574; 30485; 52417; 62857; 101517; 116945; 138204; 162664; 182206; 208617; 222095; 243430; 266600; 281411; 312733; 317600; 342108; 362401; 396413; 403905; 428203; 448681; 459663; 480762; 501558; 534593; 557310; 574934; 589156; 611311; 626739; 655029; 675462; 694060; 721017; 731463; 768364; 785624; 807099; 814855; 849131; 866601; 887891; 918677; 939346; 960318; 969051; 988102; 1012246; 1024682)","integer(0)","character(0)"
"229",206,"enrichment","pT+","AC023283.1",4.66341182570731,3.21189392948698e-05,0.00309111487665466,10823,"ENSG00000287655","c(18575; 30486; 52418; 62858; 101518; 116946; 138205; 162665; 182245; 208618; 222096; 243431; 266601; 281412; 312734; 317601; 342109; 362402; 396414; 403906; 428204; 448682; 459664; 480763; 501559; 534594; 557311; 574935; 589157; 611350; 626740; 655030; 675463; 694061; 721018; 731464; 768365; 785625; 807100; 814856; 849132; 866602; 887892; 918678; 939347; 960319; 969052; 988103; 1012247; 1024683)","integer(0)","character(0)"
"230",207,"enrichment","pT+","PGA5",4.66341182570731,3.21189392948698e-05,0.00309111487665466,11387,"ENSG00000256713","c(18576; 30487; 52419; 62859; 101519; 116947; 138206; 162666; 182252; 208619; 222097; 243432; 266602; 281413; 312735; 317602; 342110; 362403; 396415; 403907; 428205; 448683; 459665; 480764; 501560; 534595; 557312; 574936; 589158; 611357; 626741; 655031; 675464; 694062; 721019; 731465; 768366; 785626; 807101; 814857; 849133; 866603; 887893; 918679; 939348; 960320; 969053; 988104; 1012248; 1024684)","integer(0)","character(0)"
"231",208,"enrichment","pT+","AL158196.1",4.66341182570731,3.21189392948698e-05,0.00309111487665466,13378,"ENSG00000276968","c(18577; 30488; 52420; 62860; 101520; 116948; 138207; 162667; 182277; 208620; 222098; 243433; 266603; 281414; 312736; 317603; 342111; 362404; 396416; 403908; 428206; 448684; 459666; 480765; 501561; 534596; 557313; 574937; 589159; 611382; 626742; 655032; 675465; 694063; 721020; 731466; 768367; 785627; 807102; 814858; 849134; 866604; 887894; 918680; 939349; 960321; 969054; 988105; 1012249; 1024685)","integer(0)","character(0)"
"232",209,"enrichment","pT+","AL137244.1",4.66341182570731,3.21189392948698e-05,0.00309111487665466,13454,"ENSG00000228444","c(18578; 30489; 52421; 62861; 101521; 116949; 138208; 162668; 182280; 208621; 222099; 243434; 266604; 281415; 312737; 317604; 342112; 362405; 396417; 403909; 428207; 448685; 459667; 480766; 501562; 534597; 557314; 574938; 589160; 611385; 626743; 655033; 675466; 694064; 721021; 731467; 768368; 785628; 807103; 814859; 849135; 866605; 887895; 918681; 939350; 960322; 969055; 988106; 1012250; 1024686)","integer(0)","character(0)"
"233",210,"enrichment","pT+","AC010999.2",4.66341182570731,3.21189392948698e-05,0.00309111487665466,14601,"ENSG00000276524","c(18579; 30490; 52422; 62862; 101522; 116950; 138209; 162669; 182301; 208622; 222100; 243435; 266605; 281416; 312738; 317605; 342113; 362406; 396418; 403910; 428208; 448686; 459668; 480767; 501563; 534598; 557315; 574939; 589161; 611406; 626744; 655034; 675467; 694065; 721022; 731468; 768369; 785629; 807104; 814860; 849136; 866606; 887896; 918682; 939351; 960323; 969056; 988107; 1012251; 1024687)","integer(0)","character(0)"
"234",211,"enrichment","pT+","AC005606.2",4.66341182570731,3.21189392948698e-05,0.00309111487665466,15116,"ENSG00000261790","c(18580; 30491; 52423; 62863; 101523; 116951; 138210; 162670; 182311; 208623; 222101; 243436; 266606; 281417; 312739; 317606; 342114; 362407; 396419; 403911; 428209; 448687; 459669; 480768; 501564; 534599; 557316; 574940; 589162; 611416; 626745; 655035; 675468; 694066; 721023; 731469; 768370; 785630; 807105; 814861; 849137; 866607; 887897; 918683; 939352; 960324; 969057; 988108; 1012252; 1024688)","integer(0)","character(0)"
"235",212,"enrichment","pT+","LINC01497",4.66341182570731,3.21189392948698e-05,0.00309111487665466,16964,"ENSG00000237560","c(18581; 30492; 52424; 62864; 101524; 116952; 138211; 162671; 182334; 208624; 222102; 243437; 266607; 281418; 312740; 317607; 342115; 362408; 396420; 403912; 428210; 448688; 459670; 480769; 501565; 534600; 557317; 574941; 589163; 611439; 626746; 655036; 675469; 694067; 721024; 731470; 768371; 785631; 807106; 814862; 849138; 866608; 887898; 918684; 939353; 960325; 969058; 988109; 1012253; 1024689)","integer(0)","character(0)"
"236",213,"enrichment","pT+","AP001029.2",4.66341182570731,3.21189392948698e-05,0.00309111487665466,17300,"ENSG00000267199","c(18582; 30493; 52425; 62865; 101525; 116953; 138212; 162672; 182340; 208625; 222103; 243438; 266608; 281419; 312741; 317608; 342116; 362409; 396421; 403913; 428211; 448689; 459671; 480770; 501566; 534601; 557318; 574942; 589164; 611445; 626747; 655037; 675470; 694068; 721025; 731471; 768372; 785632; 807107; 814863; 849139; 866609; 887899; 918685; 939354; 960326; 969059; 988110; 1012254; 1024690)","integer(0)","character(0)"
"237",214,"enrichment","pT+","IFNL3",4.66341182570731,3.21189392948698e-05,0.00309111487665466,18368,"ENSG00000197110","c(18583; 30494; 52426; 62866; 101526; 116954; 138213; 162673; 182350; 208626; 222104; 243439; 266609; 281420; 312742; 317609; 342117; 362410; 396422; 403914; 428212; 448690; 459672; 480771; 501567; 534602; 557319; 574943; 589165; 611455; 626748; 655038; 675471; 694069; 721026; 731472; 768373; 785633; 807108; 814864; 849140; 866610; 887900; 918686; 939355; 960327; 969060; 988111; 1012255; 1024691)","integer(0)","character(0)"
"238",215,"enrichment","pT+","MTMR8",4.66341182570731,3.21189392948698e-05,0.00309111487665466,20479,"ENSG00000102043","c(18584; 30495; 52427; 62867; 101527; 116955; 138214; 162674; 182373; 208627; 222105; 243440; 266610; 281421; 312743; 317610; 342118; 362411; 396423; 403915; 428213; 448691; 459673; 480772; 501568; 534603; 557320; 574944; 589166; 611478; 626749; 655039; 675472; 694070; 721027; 731473; 768374; 785634; 807109; 814865; 849141; 866611; 887901; 918687; 939356; 960328; 969061; 988112; 1012256; 1024692)","integer(0)","character(0)"
"239",216,"enrichment","pT+","TRPC5OS",4.66341182570731,3.21189392948698e-05,0.00309111487665466,20646,"ENSG00000204025","c(18585; 30496; 52428; 62868; 101528; 116956; 138215; 162675; 182374; 208628; 222106; 243441; 266611; 281422; 312744; 317611; 342119; 362412; 396424; 403916; 428214; 448692; 459674; 480773; 501569; 534604; 557321; 574945; 589167; 611479; 626750; 655040; 675473; 694071; 721028; 731474; 768375; 785635; 807110; 814866; 849142; 866612; 887902; 918688; 939357; 960329; 969062; 988113; 1012257; 1024693)","integer(0)","character(0)"
"240",217,"enrichment","pT+","FATE1",4.66341182570731,3.21189392948698e-05,0.00309111487665466,20786,"ENSG00000147378","c(18586; 30497; 52429; 62869; 101529; 116957; 138216; 162676; 182376; 208629; 222107; 243442; 266612; 281423; 312745; 317612; 342120; 362413; 396425; 403917; 428215; 448693; 459675; 480774; 501570; 534605; 557322; 574946; 589168; 611481; 626751; 655041; 675474; 694072; 721029; 731475; 768376; 785636; 807111; 814867; 849143; 866613; 887903; 918689; 939358; 960330; 969063; 988114; 1012258; 1024694)","integer(0)","character(0)"
"241",218,"enrichment","pT+","AL360012.1",4.65713594050178,3.27675249068315e-05,0.00313906876217555,397,"ENSG00000270103","c(8795; 33579; 55506; 62870; 103388; 119772; 141221; 154198; 174574; 208391; 211618; 235708; 256478; 279126; 313069; 320192; 340359; 360341; 396673; 404012; 424780; 444923; 459515; 480512; 501349; 533304; 554484; 575645; 597627; 619019; 626970; 665511; 683189; 704187; 722913; 731132; 765777; 787378; 809164; 814600; 849029; 870029; 891654; 918830; 939601; 960532; 970345; 990933; 1011540; 1023926)","integer(0)","character(0)"
"242",219,"enrichment","pT+","AL390198.1",4.63789809333596,3.4837009613533e-05,0.00332208268844302,19119,"ENSG00000226465","c(17909; 23260; 52661; 62871; 97641; 122200; 143772; 165729; 180022; 208608; 224324; 238786; 259860; 275223; 312175; 315239; 335975; 356623; 396465; 406312; 421844; 442246; 459726; 480458; 501313; 528813; 549613; 572185; 586096; 613571; 626753; 652805; 680111; 700805; 727210; 732026; 770730; 791762; 812882; 814808; 846729; 872965; 894331; 918619; 939655; 960568; 974836; 995804; 1015000; 1024057)","integer(0)","character(0)"
"243",220,"enrichment","pT+","AC011451.4",4.6331963001407,3.53620351578041e-05,0.00335505008119949,17843,"ENSG00000287275","c(18543; 30457; 52373; 62872; 101486; 116913; 138157; 164466; 182651; 208606; 221978; 242780; 266437; 280821; 312705; 317074; 341805; 361853; 396388; 402832; 427493; 448094; 459680; 480789; 501585; 534540; 557522; 575590; 587662; 610942; 626755; 655151; 676117; 694228; 721612; 731496; 768895; 785932; 807652; 814885; 850209; 867316; 888483; 918665; 939324; 960296; 969109; 987895; 1011595; 1024616)","integer(0)","character(0)"
"244",221,"enrichment","pT+","RPS10-NUDT3",4.6319365181235,3.55040254714177e-05,0.00335505008119949,6852,"ENSG00000270800","c(20502; 34939; 57402; 62873; 93765; 109162; 134506; 159519; 180076; 208765; 227182; 249228; 269425; 277625; 313091; 325559; 350263; 369067; 396693; 410003; 434370; 453296; 459793; 481267; 501602; 538983; 551867; 568478; 592306; 613517; 626596; 649947; 669669; 691240; 724808; 731110; 760410; 777474; 800438; 814580; 843038; 860439; 883281; 918552; 938846; 960279; 964666; 993550; 1018707; 1024081)","integer(0)","character(0)"
"245",222,"enrichment","pT+","RBMS3-AS3",4.62754063920918,3.6003891329701e-05,0.00338696066004269,3653,"ENSG00000235904","c(19889; 32826; 43906; 62874; 103062; 119158; 140542; 163621; 186916; 208750; 222411; 242231; 262976; 289360; 312993; 320118; 340590; 360504; 395503; 397985; 420343; 440881; 459532; 480565; 501389; 533478; 554577; 575607; 588204; 606677; 626611; 654718; 676666; 697689; 713073; 731208; 765851; 787147; 809001; 815770; 855056; 874466; 895696; 918813; 939548; 960492; 970171; 990840; 1011578; 1024166)","integer(0)","character(0)"
"246",223,"enrichment","pT+","PCAT6",4.62609810498542,3.61694285295793e-05,0.00338727509153244,1709,"ENSG00000228288","c(14543; 23010; 48738; 62875; 104158; 121774; 143353; 165243; 179395; 208531; 212855; 237258; 258172; 275639; 312063; 313930; 335933; 356580; 396361; 398385; 421383; 441861; 459512; 480466; 501319; 533893; 559953; 578423; 586582; 614198; 626830; 664274; 681639; 702493; 726794; 732138; 772039; 791804; 812925; 814912; 854656; 873426; 894716; 918833; 939647; 960562; 969756; 985464; 1008762; 1023892)","integer(0)","character(0)"
"247",224,"enrichment","pT+","AL445985.2",4.62307102730156,3.65192358743798e-05,0.00340476661607387,13227,"ENSG00000287530","c(18538; 30445; 52355; 62876; 101471; 116893; 138140; 162838; 181871; 208605; 221959; 243052; 266487; 280917; 312695; 317261; 342055; 362079; 396380; 403300; 427836; 448500; 459681; 480793; 501588; 534641; 557780; 575483; 588987; 611722; 626756; 655170; 675845; 694178; 721516; 731506; 768708; 785682; 807426; 814893; 849758; 866973; 888114; 918664; 939320; 960293; 969008; 987723; 1011702; 1024774)","integer(0)","character(0)"
"248",225,"enrichment","pT+","AC103923.1",4.55641467751193,4.51224284477131e-05,0.00415693833084121,751,"ENSG00000235545","c(20176; 33565; 43170; 62877; 103382; 119758; 141203; 164120; 187259; 208759; 218660; 242097; 266784; 290653; 313031; 316040; 340330; 365131; 394720; 397566; 419237; 439916; 459523; 480538; 501367; 534450; 559352; 577540; 587316; 606334; 626602; 658469; 676800; 693881; 711780; 731170; 769929; 787407; 804374; 816553; 855475; 875572; 896661; 918822; 939575; 960514; 969199; 986065; 1009645; 1024008)","integer(0)","character(0)"
"249",226,"enrichment","pT+","AC007920.2",4.55046818741094,4.59803081030607e-05,0.00415693833084121,4595,"ENSG00000283175","c(18479; 30365; 52263; 62878; 101413; 116807; 138050; 162958; 181816; 208590; 221829; 243318; 266444; 280640; 312645; 317227; 342064; 362038; 396338; 403178; 428142; 448407; 459684; 480830; 501613; 535169; 557999; 575045; 588862; 611772; 626766; 655295; 675574; 694216; 721788; 731551; 768737; 785668; 807462; 814930; 849858; 866662; 888021; 918656; 939278; 960263; 968475; 987413; 1012135; 1024796)","integer(0)","character(0)"
"250",227,"enrichment","pT+","ATP13A5",4.55046818741094,4.59803081030607e-05,0.00415693833084121,4619,"ENSG00000187527","c(18480; 30366; 52264; 62879; 101414; 116808; 138051; 162959; 181817; 208591; 221830; 243319; 266445; 280641; 312646; 317228; 342065; 362039; 396339; 403179; 428143; 448409; 459685; 480831; 501614; 535170; 558000; 575046; 588863; 611773; 626767; 655296; 675575; 694217; 721789; 731552; 768738; 785669; 807463; 814931; 849859; 866663; 888023; 918657; 939279; 960264; 968476; 987414; 1012136; 1024797)","integer(0)","character(0)"
"251",228,"enrichment","pT+","AL354809.1",4.55046818741094,4.59803081030607e-05,0.00415693833084121,13317,"ENSG00000273507","c(18481; 30367; 52265; 62880; 101415; 116809; 138052; 162960; 181818; 208592; 221831; 243320; 266446; 280642; 312647; 317229; 342066; 362040; 396340; 403180; 428144; 448504; 459686; 480832; 501615; 535171; 558001; 575047; 588864; 611774; 626768; 655297; 675576; 694218; 721790; 731553; 768739; 785670; 807464; 814932; 849860; 866664; 888118; 918658; 939280; 960265; 968477; 987415; 1012137; 1024798)","integer(0)","character(0)"
"252",229,"enrichment","pT+","AC079052.1",4.55046818741094,4.59803081030607e-05,0.00415693833084121,17420,"ENSG00000286328","c(18482; 30368; 52266; 62881; 101416; 116810; 138053; 162961; 181819; 208593; 221832; 243321; 266447; 280643; 312648; 317230; 342067; 362041; 396341; 403181; 428145; 448554; 459687; 480833; 501616; 535172; 558002; 575048; 588865; 611775; 626769; 655298; 675577; 694219; 721791; 731554; 768740; 785671; 807465; 814933; 849861; 866665; 888168; 918659; 939281; 960266; 968478; 987416; 1012138; 1024799)","integer(0)","character(0)"
"253",230,"enrichment","pT+","TSPAN16",4.55046818741094,4.59803081030607e-05,0.00415693833084121,17894,"ENSG00000130167","c(18483; 30369; 52267; 62882; 101417; 116811; 138054; 162962; 181820; 208594; 221833; 243322; 266448; 280644; 312649; 317231; 342068; 362042; 396342; 403182; 428146; 448568; 459688; 480834; 501617; 535173; 558003; 575049; 588866; 611776; 626770; 655299; 675578; 694220; 721792; 731555; 768741; 785672; 807466; 814934; 849862; 866666; 888182; 918660; 939282; 960267; 968479; 987417; 1012139; 1024800)","integer(0)","character(0)"
"254",231,"enrichment","pT+","PTOV1-AS1",4.55046818741094,4.59803081030607e-05,0.00415693833084121,18651,"ENSG00000268006","c(18484; 30370; 52268; 62883; 101418; 116812; 138055; 162963; 181821; 208595; 221834; 243323; 266449; 280645; 312650; 317232; 342069; 362043; 396343; 403183; 428147; 448576; 459689; 480835; 501618; 535174; 558004; 575050; 588867; 611777; 626771; 655300; 675579; 694221; 721793; 731556; 768742; 785673; 807467; 814935; 849863; 866667; 888190; 918661; 939283; 960268; 968480; 987418; 1012140; 1024801)","integer(0)","character(0)"
"255",232,"enrichment","pT+","TNFSF13B",4.54013249548966,4.75096766560182e-05,0.00427669003139778,13561,"ENSG00000102524","c(14855; 37900; 53799; 62884; 97645; 107618; 144452; 155103; 178613; 208549; 218047; 248658; 257413; 287849; 313170; 326039; 352753; 361086; 396593; 406693; 434703; 442027; 459719; 481828; 501300; 540955; 548749; 565297; 596722; 614980; 626812; 659082; 670239; 703252; 714584; 731031; 759930; 774984; 808419; 814680; 846348; 860106; 894550; 918626; 938285; 960581; 962694; 996668; 1021888; 1023823)","integer(0)","character(0)"
"256",233,"enrichment","pT+","PROSER2",4.53686721829456,4.80031405576743e-05,0.00430235684081757,10186,"ENSG00000148426","c(8324; 33637; 55554; 62885; 103418; 119821; 141266; 153814; 174240; 208316; 211385; 235394; 256110; 281429; 313030; 320217; 340303; 360310; 396646; 404034; 424743; 444898; 459524; 480539; 501369; 533263; 554462; 575662; 598011; 619353; 627045; 665744; 683503; 704555; 721004; 731171; 765752; 787434; 809195; 814627; 849007; 870066; 891679; 918821; 939574; 960512; 970386; 990955; 1011523; 1024044)","integer(0)","character(0)"
"257",234,"enrichment","pT+","PRR19",4.53552897426576,4.82068330181628e-05,0.00430235684081757,18442,"ENSG00000188368","c(15158; 35624; 57409; 62886; 104028; 105630; 142887; 156836; 177256; 208589; 213722; 249842; 259183; 279053; 313151; 320100; 353917; 360584; 396710; 403945; 437597; 445040; 459508; 484691; 501309; 542670; 554621; 564567; 594989; 616337; 626772; 663407; 669055; 701482; 723380; 731050; 765869; 773820; 808921; 814563; 849096; 857212; 891537; 918837; 935422; 960572; 960979; 990796; 1022618; 1023621)","integer(0)","character(0)"
"258",235,"enrichment","pT+","LINC02712",4.51392842865123,5.16144550040872e-05,0.00457486924764051,12028,"ENSG00000273409","c(20595; 35339; 44769; 62887; 89811; 121107; 142658; 163617; 186927; 208768; 228291; 242303; 263012; 289395; 313099; 328619; 340793; 360644; 395954; 407331; 420320; 440864; 459951; 480493; 501336; 526047; 546563; 572102; 588208; 606666; 626593; 648838; 676594; 697653; 713038; 731102; 757350; 786944; 808861; 815319; 845710; 874489; 895713; 918394; 939620; 960545; 977602; 998854; 1015083; 1023864)","integer(0)","character(0)"
"259",236,"enrichment","pT+","MYZAP",4.51341423405436,5.1698388356788e-05,0.00457486924764051,14607,"ENSG00000263155","c(18453; 30328; 52233; 62888; 101390; 116786; 138013; 162656; 182302; 208587; 222035; 242783; 266396; 281424; 312620; 317331; 342036; 362372; 396315; 403304; 427558; 448134; 459691; 480854; 501630; 534539; 557361; 575544; 589169; 611407; 626774; 655103; 676114; 694269; 721009; 731581; 768638; 785701; 807133; 814958; 849762; 867251; 888443; 918654; 939259; 960251; 969110; 988056; 1011641; 1025070)","integer(0)","character(0)"
"260",237,"enrichment","pT+","AC243829.1",4.48771042808082,5.60692238773302e-05,0.00494071591330871,16502,"ENSG00000274767","c(20492; 38550; 55705; 62889; 92739; 108621; 133802; 158188; 185464; 208762; 227541; 249410; 269652; 287483; 313174; 328885; 352208; 371626; 396652; 409764; 434239; 453110; 459838; 481479; 501703; 538989; 551833; 568443; 593637; 608129; 626599; 649588; 669487; 691013; 714950; 731027; 757084; 775529; 797879; 814621; 843277; 860570; 883467; 918507; 938634; 960178; 964660; 993584; 1018742; 1024023)","integer(0)","character(0)"
"261",238,"enrichment","pT+","LRRC9",4.47820669132239,5.77754480377246e-05,0.00506967418831866,13925,"ENSG00000131951","c(14446; 33895; 44886; 62890; 103509; 120042; 141498; 157135; 185293; 208493; 214062; 238469; 259500; 288556; 312944; 316270; 340202; 360717; 395780; 398236; 421042; 441522; 459560; 480613; 501430; 533581; 558905; 576952; 594690; 608300; 626868; 663067; 680428; 701165; 713877; 731257; 769699; 787535; 808788; 815493; 854805; 873767; 895055; 918785; 939500; 960451; 970068; 986512; 1010233; 1024446)","integer(0)","character(0)"
"262",239,"enrichment","pT+","KISS1R",4.46043080788519,6.11045703959595e-05,0.00533936338137748,17628,"ENSG00000116014","c(15063; 32961; 47617; 62891; 103130; 119262; 140648; 158004; 185259; 208508; 215276; 239462; 260607; 287340; 312781; 316340; 340505; 360890; 395940; 398644; 421964; 442364; 459649; 480734; 501537; 533668; 558895; 576707; 593821; 608334; 626853; 661853; 679435; 700058; 715093; 731420; 769629; 787232; 808615; 815333; 854397; 872845; 894213; 918696; 939379; 960344; 969981; 986522; 1010478; 1024735)","integer(0)","character(0)"
"263",240,"enrichment","pT+","EFCAB6",4.4380457214283,6.55654605438715e-05,0.00570528782499255,20123,"ENSG00000186976","c(19957; 37827; 47280; 62892; 97107; 107727; 144409; 157995; 186541; 208748; 225963; 249505; 260598; 290194; 313157; 326441; 352620; 360674; 396010; 399801; 432553; 440281; 459773; 481925; 501306; 540642; 548368; 565385; 593830; 607052; 626613; 651166; 669392; 700067; 712239; 731044; 759528; 775117; 808831; 815263; 853240; 862256; 896296; 918572; 938188; 960575; 963007; 997049; 1021800; 1023863)","integer(0)","character(0)"
"264",241,"enrichment","pT+","LONRF3",4.42872323135299,6.75160186735519e-05,0.00575235044481035,20661,"ENSG00000175556","c(18404; 30250; 52136; 62893; 101333; 116710; 137927; 163948; 181928; 208580; 221975; 243053; 266566; 279524; 312560; 317148; 341950; 361997; 396253; 403311; 427835; 448609; 459700; 480905; 501667; 534640; 557964; 575526; 587877; 611665; 626781; 655154; 675844; 694136; 723311; 731641; 768866; 785787; 807508; 815020; 849769; 866974; 887968; 918645; 939208; 960214; 969009; 987453; 1011659; 1025266)","integer(0)","character(0)"
"265",242,"enrichment","pT+","LRR1",4.42749812924948,6.77765394828788e-05,0.00575235044481035,13831,"ENSG00000165501","c(9011; 35273; 47328; 62894; 103932; 121050; 142589; 153502; 178246; 208327; 211228; 235137; 255847; 288882; 313064; 316286; 339278; 360354; 395969; 398141; 420765; 441255; 459516; 480513; 501350; 533226; 554704; 577036; 598323; 615347; 627034; 665901; 683760; 704818; 713551; 731137; 769683; 788459; 809151; 815304; 854900; 874044; 895322; 918829; 939600; 960531; 970423; 990713; 1010149; 1024005)","integer(0)","character(0)"
"266",243,"enrichment","pT+","AC092053.3",4.42054084326237,6.92748113974896e-05,0.00575235044481035,3709,"ENSG00000284669","c(18395; 30237; 52118; 62895; 101323; 116702; 137915; 162818; 182658; 208574; 222066; 243054; 266582; 281458; 312549; 317344; 342056; 362388; 396241; 403157; 427527; 448195; 459703; 480908; 501671; 534546; 557655; 575583; 589002; 610930; 626782; 655058; 675838; 694078; 720970; 731647; 768620; 785676; 807112; 815027; 849879; 867277; 888377; 918637; 939200; 960205; 969098; 987598; 1011597; 1025290)","integer(0)","character(0)"
"267",244,"enrichment","pT+","AC018953.2",4.42054084326237,6.92748113974896e-05,0.00575235044481035,8844,"ENSG00000287844","c(18396; 30238; 52119; 62896; 101324; 116703; 137916; 162819; 182659; 208575; 222067; 243055; 266583; 281459; 312550; 317345; 342057; 362389; 396242; 403158; 427528; 448196; 459704; 480909; 501672; 534547; 557726; 575584; 589003; 610931; 626783; 655059; 675839; 694079; 720971; 731648; 768621; 785677; 807113; 815028; 849880; 867278; 888378; 918638; 939201; 960206; 969099; 987669; 1011598; 1025291)","integer(0)","character(0)"
"268",245,"enrichment","pT+","LINC00867",4.42054084326237,6.92748113974896e-05,0.00575235044481035,10835,"ENSG00000232139","c(18397; 30239; 52120; 62897; 101325; 116704; 137917; 162820; 182660; 208576; 222068; 243056; 266584; 281460; 312551; 317346; 342058; 362390; 396243; 403159; 427529; 448197; 459705; 480910; 501673; 534548; 557757; 575585; 589004; 610932; 626784; 655060; 675840; 694080; 720972; 731649; 768622; 785678; 807114; 815029; 849881; 867279; 888379; 918639; 939202; 960207; 969100; 987700; 1011599; 1025292)","integer(0)","character(0)"
"269",246,"enrichment","pT+","AL135999.1",4.42054084326237,6.92748113974896e-05,0.00575235044481035,13704,"ENSG00000258727","c(18398; 30240; 52121; 62898; 101326; 116705; 137918; 162821; 182661; 208577; 222069; 243057; 266585; 281461; 312552; 317347; 342059; 362391; 396244; 403160; 427530; 448198; 459706; 480911; 501674; 534549; 557785; 575586; 589005; 610933; 626785; 655061; 675841; 694081; 720973; 731650; 768623; 785679; 807115; 815030; 849882; 867280; 888380; 918640; 939203; 960208; 969101; 987728; 1011600; 1025293)","integer(0)","character(0)"
"270",247,"enrichment","pT+","KLK8",4.42054084326237,6.92748113974896e-05,0.00575235044481035,18687,"ENSG00000129455","c(18399; 30241; 52122; 62899; 101327; 116706; 137919; 162822; 182662; 208578; 222070; 243058; 266586; 281462; 312553; 317348; 342060; 362392; 396245; 403161; 427531; 448199; 459707; 480912; 501675; 534550; 557845; 575587; 589006; 610934; 626786; 655062; 675842; 694082; 720974; 731651; 768624; 785680; 807116; 815031; 849883; 867281; 888381; 918641; 939204; 960209; 969102; 987788; 1011601; 1025294)","integer(0)","character(0)"
"271",248,"enrichment","pT+","AP000317.1",4.42054084326237,6.92748113974896e-05,0.00575235044481035,19594,"ENSG00000214955","c(18400; 30242; 52123; 62900; 101328; 116707; 137920; 162823; 182663; 208579; 222071; 243059; 266587; 281463; 312554; 317349; 342061; 362393; 396246; 403162; 427532; 448200; 459708; 480913; 501676; 534551; 557855; 575588; 589007; 610935; 626787; 655063; 675843; 694083; 720975; 731652; 768625; 785681; 807117; 815032; 849884; 867282; 888382; 918642; 939205; 960210; 969103; 987798; 1011602; 1025295)","integer(0)","character(0)"
"272",249,"enrichment","pT+","DIABLO",4.41683090742047,7.00869748815453e-05,0.00575235044481035,13070,"ENSG00000184047","c(20124; 33426; 55374; 62901; 88455; 119660; 141086; 163482; 181028; 208721; 228261; 245957; 266872; 278955; 312942; 328528; 345080; 365225; 396583; 412562; 428887; 449159; 460096; 480614; 501431; 526104; 546630; 572106; 588343; 612565; 626640; 648868; 672940; 693793; 723478; 731259; 757441; 782657; 804280; 814690; 840479; 865922; 887418; 918249; 939499; 960450; 977545; 998787; 1015079; 1024173)","integer(0)","character(0)"
"273",250,"enrichment","pT+","LINC01127",4.41292300804847,7.09525645049937e-05,0.00575235044481035,2734,"ENSG00000281162","c(18387; 30227; 52108; 62902; 101314; 116693; 137904; 163736; 180824; 208565; 221904; 243061; 266191; 278369; 312536; 317108; 341953; 361858; 396231; 403355; 428181; 448626; 459709; 480918; 501681; 534649; 557402; 574949; 588082; 612762; 626789; 655218; 675829; 694467; 724057; 731658; 768826; 785777; 807640; 815035; 849679; 866621; 887944; 918629; 939188; 960193; 968993; 988008; 1012229; 1025336)","integer(0)","character(0)"
"274",251,"enrichment","pT+","LINC01998",4.41292300804847,7.09525645049937e-05,0.00575235044481035,4380,"ENSG00000243321","c(18388; 30228; 52109; 62903; 101315; 116694; 137905; 163737; 180825; 208566; 221905; 243062; 266192; 278370; 312537; 317110; 341954; 361859; 396232; 403356; 428182; 448627; 459710; 480919; 501682; 534650; 557403; 574950; 588083; 612763; 626790; 655219; 675830; 694468; 724058; 731659; 768828; 785778; 807641; 815036; 849680; 866622; 887945; 918630; 939189; 960194; 968994; 988009; 1012230; 1025337)","integer(0)","character(0)"
"275",252,"enrichment","pT+","ANXA2R",4.41292300804847,7.09525645049937e-05,0.00575235044481035,5665,"ENSG00000177721","c(18389; 30229; 52110; 62904; 101316; 116695; 137906; 163738; 180826; 208567; 221906; 243063; 266193; 278371; 312538; 317116; 341955; 361860; 396233; 403357; 428183; 448628; 459711; 480920; 501683; 534651; 557404; 574951; 588084; 612764; 626791; 655220; 675831; 694469; 724059; 731660; 768834; 785779; 807642; 815037; 849681; 866623; 887946; 918631; 939190; 960195; 968995; 988010; 1012231; 1025338)","integer(0)","character(0)"
"276",253,"enrichment","pT+","MINAR2",4.41292300804847,7.09525645049937e-05,0.00575235044481035,6042,"ENSG00000186367","c(18390; 30230; 52111; 62905; 101317; 116696; 137907; 163739; 180827; 208568; 221907; 243064; 266194; 278372; 312539; 317117; 341956; 361861; 396234; 403358; 428184; 448629; 459712; 480921; 501684; 534652; 557405; 574952; 588085; 612765; 626792; 655221; 675832; 694470; 724060; 731661; 768835; 785780; 807643; 815038; 849682; 866624; 887947; 918632; 939191; 960196; 968996; 988011; 1012232; 1025339)","integer(0)","character(0)"
